{'loss': 4.1053, 'grad_norm': 2.2173097133636475, 'learning_rate': 1.8e-05, 'epoch': 0.0}
{'loss': 0.0934, 'grad_norm': 0.32241594791412354, 'learning_rate': 0.00019675246493768507, 'epoch': 0.06}
{'loss': 0.098, 'grad_norm': 0.27383700013160706, 'learning_rate': 0.00019668738407471284, 'epoch': 0.06}
{'loss': 0.0952, 'grad_norm': 0.23838800191879272, 'learning_rate': 0.0001966223032117406, 'epoch': 0.06}
{'loss': 0.0956, 'grad_norm': 0.24439305067062378, 'learning_rate': 0.00019655722234876834, 'epoch': 0.06}
{'loss': 0.0955, 'grad_norm': 0.2965730130672455, 'learning_rate': 0.0001964921414857961, 'epoch': 0.06}
{'loss': 0.0926, 'grad_norm': 0.2578161954879761, 'learning_rate': 0.00019642706062282387, 'epoch': 0.06}
{'loss': 0.097, 'grad_norm': 0.2664319574832916, 'learning_rate': 0.00019636197975985163, 'epoch': 0.06}
{'loss': 0.0867, 'grad_norm': 0.24434220790863037, 'learning_rate': 0.0001962968988968794, 'epoch': 0.07}
{'loss': 0.0878, 'grad_norm': 0.24657860398292542, 'learning_rate': 0.00019623181803390713, 'epoch': 0.07}
{'loss': 0.0832, 'grad_norm': 0.3387851119041443, 'learning_rate': 0.0001961667371709349, 'epoch': 0.07}
{'loss': 0.0784, 'grad_norm': 0.29687416553497314, 'learning_rate': 0.00019610165630796263, 'epoch': 0.07}
{'loss': 0.086, 'grad_norm': 0.2969849407672882, 'learning_rate': 0.00019603657544499042, 'epoch': 0.07}
{'loss': 0.082, 'grad_norm': 0.20202556252479553, 'learning_rate': 0.0001959714945820182, 'epoch': 0.07}
{'loss': 0.0796, 'grad_norm': 0.21355681121349335, 'learning_rate': 0.00019590641371904592, 'epoch': 0.07}
{'loss': 0.0796, 'grad_norm': 0.3165106773376465, 'learning_rate': 0.0001958413328560737, 'epoch': 0.07}
{'loss': 0.0798, 'grad_norm': 0.2755298912525177, 'learning_rate': 0.00019577625199310142, 'epoch': 0.07}
{'loss': 0.0796, 'grad_norm': 0.3157966434955597, 'learning_rate': 0.0001957111711301292, 'epoch': 0.07}
{'loss': 0.0725, 'grad_norm': 0.2743498980998993, 'learning_rate': 0.00019564609026715695, 'epoch': 0.07}
{'loss': 0.0802, 'grad_norm': 0.39094823598861694, 'learning_rate': 0.00019558100940418472, 'epoch': 0.08}
{'loss': 0.0789, 'grad_norm': 0.48012641072273254, 'learning_rate': 0.00019551592854121245, 'epoch': 0.08}
{'loss': 0.0769, 'grad_norm': 0.3109525740146637, 'learning_rate': 0.00019545084767824022, 'epoch': 0.08}
{'loss': 0.0744, 'grad_norm': 0.2903452217578888, 'learning_rate': 0.00019538576681526798, 'epoch': 0.08}
{'loss': 0.0719, 'grad_norm': 0.3060240149497986, 'learning_rate': 0.00019532068595229574, 'epoch': 0.08}
{'loss': 0.0733, 'grad_norm': 0.3402886986732483, 'learning_rate': 0.0001952556050893235, 'epoch': 0.08}
{'loss': 0.0749, 'grad_norm': 0.3177936375141144, 'learning_rate': 0.00019519052422635125, 'epoch': 0.08}
{'loss': 0.068, 'grad_norm': 0.37251222133636475, 'learning_rate': 0.000195125443363379, 'epoch': 0.08}
{'loss': 0.0668, 'grad_norm': 0.20199376344680786, 'learning_rate': 0.00019506036250040675, 'epoch': 0.08}
{'loss': 0.0714, 'grad_norm': 0.2068800926208496, 'learning_rate': 0.00019499528163743454, 'epoch': 0.08}
{'loss': 0.068, 'grad_norm': 0.3266042470932007, 'learning_rate': 0.00019493020077446227, 'epoch': 0.09}
{'loss': 0.0692, 'grad_norm': 0.34068912267684937, 'learning_rate': 0.00019486511991149004, 'epoch': 0.09}
{'loss': 0.0641, 'grad_norm': 0.39349594712257385, 'learning_rate': 0.0001948000390485178, 'epoch': 0.09}
{'loss': 0.0656, 'grad_norm': 0.327109158039093, 'learning_rate': 0.00019473495818554554, 'epoch': 0.09}
{'loss': 0.0646, 'grad_norm': 0.253757119178772, 'learning_rate': 0.0001946698773225733, 'epoch': 0.09}
{'loss': 0.0655, 'grad_norm': 0.2867235839366913, 'learning_rate': 0.00019460479645960107, 'epoch': 0.09}
{'loss': 0.0641, 'grad_norm': 0.2598831057548523, 'learning_rate': 0.00019453971559662883, 'epoch': 0.09}
{'loss': 0.064, 'grad_norm': 0.24075445532798767, 'learning_rate': 0.00019447463473365657, 'epoch': 0.09}
{'loss': 0.0614, 'grad_norm': 0.35870325565338135, 'learning_rate': 0.00019440955387068433, 'epoch': 0.09}
{'loss': 0.061, 'grad_norm': 0.25617659091949463, 'learning_rate': 0.0001943444730077121, 'epoch': 0.09}
{'loss': 0.0631, 'grad_norm': 0.2570851147174835, 'learning_rate': 0.00019427939214473986, 'epoch': 0.1}
{'loss': 0.0593, 'grad_norm': 0.30613356828689575, 'learning_rate': 0.00019421431128176762, 'epoch': 0.1}
{'loss': 0.0609, 'grad_norm': 0.1942450851202011, 'learning_rate': 0.00019414923041879536, 'epoch': 0.1}
{'loss': 0.0581, 'grad_norm': 0.18509851396083832, 'learning_rate': 0.00019408414955582312, 'epoch': 0.1}
{'loss': 0.0548, 'grad_norm': 0.2569376230239868, 'learning_rate': 0.00019401906869285086, 'epoch': 0.1}
{'loss': 0.056, 'grad_norm': 0.2732957601547241, 'learning_rate': 0.00019395398782987862, 'epoch': 0.1}
{'loss': 0.0578, 'grad_norm': 0.25608253479003906, 'learning_rate': 0.0001938889069669064, 'epoch': 0.1}
{'loss': 0.0561, 'grad_norm': 0.21804073452949524, 'learning_rate': 0.00019382382610393415, 'epoch': 0.1}
{'loss': 0.0557, 'grad_norm': 0.23269984126091003, 'learning_rate': 0.00019375874524096192, 'epoch': 0.1}
{'loss': 0.0514, 'grad_norm': 0.2341335266828537, 'learning_rate': 0.00019369366437798965, 'epoch': 0.1}
{'loss': 0.0524, 'grad_norm': 0.3004246950149536, 'learning_rate': 0.00019362858351501742, 'epoch': 0.11}
{'loss': 0.0555, 'grad_norm': 0.23723283410072327, 'learning_rate': 0.00019356350265204518, 'epoch': 0.11}
{'loss': 0.0543, 'grad_norm': 0.3390386998653412, 'learning_rate': 0.00019349842178907294, 'epoch': 0.11}
{'loss': 0.0552, 'grad_norm': 0.24717506766319275, 'learning_rate': 0.00019343334092610068, 'epoch': 0.11}
{'loss': 0.0508, 'grad_norm': 0.24888089299201965, 'learning_rate': 0.00019336826006312844, 'epoch': 0.11}
{'loss': 0.0497, 'grad_norm': 0.27090582251548767, 'learning_rate': 0.00019330317920015618, 'epoch': 0.11}
{'loss': 0.0519, 'grad_norm': 0.20520852506160736, 'learning_rate': 0.00019323809833718397, 'epoch': 0.11}
{'loss': 0.0523, 'grad_norm': 0.2623518109321594, 'learning_rate': 0.00019317301747421174, 'epoch': 0.11}
{'loss': 0.0494, 'grad_norm': 0.30602994561195374, 'learning_rate': 0.00019310793661123947, 'epoch': 0.11}
{'loss': 0.049, 'grad_norm': 0.2663188576698303, 'learning_rate': 0.00019304285574826724, 'epoch': 0.11}
{'loss': 0.0514, 'grad_norm': 0.3265903890132904, 'learning_rate': 0.00019297777488529497, 'epoch': 0.11}
{'loss': 0.048, 'grad_norm': 0.3831217288970947, 'learning_rate': 0.00019291269402232274, 'epoch': 0.12}
{'loss': 0.0462, 'grad_norm': 0.3756990134716034, 'learning_rate': 0.0001928476131593505, 'epoch': 0.12}
{'loss': 0.0443, 'grad_norm': 0.24968740344047546, 'learning_rate': 0.00019278253229637827, 'epoch': 0.12}
{'loss': 0.0491, 'grad_norm': 0.35949215292930603, 'learning_rate': 0.00019271745143340603, 'epoch': 0.12}
{'loss': 0.0461, 'grad_norm': 0.3381577134132385, 'learning_rate': 0.00019265237057043377, 'epoch': 0.12}
{'loss': 0.0464, 'grad_norm': 0.2957579791545868, 'learning_rate': 0.00019258728970746153, 'epoch': 0.12}
{'loss': 0.0463, 'grad_norm': 0.2927706837654114, 'learning_rate': 0.0001925222088444893, 'epoch': 0.12}
{'loss': 0.0488, 'grad_norm': 0.32290545105934143, 'learning_rate': 0.00019245712798151706, 'epoch': 0.12}
{'loss': 0.0451, 'grad_norm': 0.3796917796134949, 'learning_rate': 0.0001923920471185448, 'epoch': 0.12}
{'loss': 0.044, 'grad_norm': 0.24975553154945374, 'learning_rate': 0.00019232696625557256, 'epoch': 0.12}
{'loss': 0.0446, 'grad_norm': 0.36030006408691406, 'learning_rate': 0.0001922618853926003, 'epoch': 0.13}
{'loss': 0.0394, 'grad_norm': 0.31773555278778076, 'learning_rate': 0.00019219680452962806, 'epoch': 0.13}
{'loss': 0.0416, 'grad_norm': 0.24352271854877472, 'learning_rate': 0.00019213172366665585, 'epoch': 0.13}
{'loss': 0.0401, 'grad_norm': 0.2765873372554779, 'learning_rate': 0.0001920666428036836, 'epoch': 0.13}
{'loss': 0.0463, 'grad_norm': 0.30085647106170654, 'learning_rate': 0.00019200156194071135, 'epoch': 0.13}
{'loss': 0.0401, 'grad_norm': 0.23259148001670837, 'learning_rate': 0.0001919364810777391, 'epoch': 0.13}
{'loss': 0.0359, 'grad_norm': 0.3408030569553375, 'learning_rate': 0.00019187140021476685, 'epoch': 0.13}
{'loss': 0.0415, 'grad_norm': 0.2515266239643097, 'learning_rate': 0.00019180631935179461, 'epoch': 0.13}
{'loss': 0.0371, 'grad_norm': 0.28867772221565247, 'learning_rate': 0.00019174123848882238, 'epoch': 0.13}
{'loss': 0.0374, 'grad_norm': 0.2506636679172516, 'learning_rate': 0.00019167615762585014, 'epoch': 0.13}
{'loss': 0.0375, 'grad_norm': 0.30334120988845825, 'learning_rate': 0.00019161107676287788, 'epoch': 0.14}
{'loss': 0.0367, 'grad_norm': 0.36607930064201355, 'learning_rate': 0.00019154599589990564, 'epoch': 0.14}
{'loss': 0.038, 'grad_norm': 0.3893655836582184, 'learning_rate': 0.0001914809150369334, 'epoch': 0.14}
{'loss': 0.0354, 'grad_norm': 0.26863107085227966, 'learning_rate': 0.00019141583417396117, 'epoch': 0.14}
{'loss': 0.0391, 'grad_norm': 0.37041589617729187, 'learning_rate': 0.0001913507533109889, 'epoch': 0.14}
{'loss': 0.0357, 'grad_norm': 0.2667374014854431, 'learning_rate': 0.00019128567244801667, 'epoch': 0.14}
{'loss': 0.0324, 'grad_norm': 0.28858521580696106, 'learning_rate': 0.0001912205915850444, 'epoch': 0.14}
{'loss': 0.0331, 'grad_norm': 0.29537433385849, 'learning_rate': 0.00019115551072207217, 'epoch': 0.14}
{'loss': 0.0303, 'grad_norm': 0.24369077384471893, 'learning_rate': 0.00019109042985909996, 'epoch': 0.14}
{'loss': 0.0343, 'grad_norm': 0.2751805782318115, 'learning_rate': 0.0001910253489961277, 'epoch': 0.14}
{'loss': 0.0336, 'grad_norm': 0.2638009786605835, 'learning_rate': 0.00019096026813315546, 'epoch': 0.14}
{'loss': 0.0339, 'grad_norm': 0.28253453969955444, 'learning_rate': 0.0001908951872701832, 'epoch': 0.15}
{'loss': 0.0332, 'grad_norm': 0.26642537117004395, 'learning_rate': 0.00019083010640721096, 'epoch': 0.15}
{'loss': 0.036, 'grad_norm': 0.33170974254608154, 'learning_rate': 0.00019076502554423873, 'epoch': 0.15}
{'loss': 0.035, 'grad_norm': 0.3777298331260681, 'learning_rate': 0.0001906999446812665, 'epoch': 0.15}
{'loss': 0.0325, 'grad_norm': 0.3232760429382324, 'learning_rate': 0.00019063486381829423, 'epoch': 0.15}
{'loss': 0.0311, 'grad_norm': 0.300319641828537, 'learning_rate': 0.000190569782955322, 'epoch': 0.15}
{'loss': 0.0319, 'grad_norm': 0.2858317494392395, 'learning_rate': 0.00019050470209234976, 'epoch': 0.15}
{'loss': 0.0339, 'grad_norm': 0.2833602726459503, 'learning_rate': 0.0001904396212293775, 'epoch': 0.15}
{'loss': 0.0321, 'grad_norm': 0.5026891827583313, 'learning_rate': 0.00019037454036640528, 'epoch': 0.15}
{'loss': 0.0329, 'grad_norm': 0.35026979446411133, 'learning_rate': 0.00019030945950343302, 'epoch': 0.15}
{'loss': 0.0303, 'grad_norm': 0.37366795539855957, 'learning_rate': 0.00019024437864046079, 'epoch': 0.16}
{'loss': 0.0315, 'grad_norm': 0.3295157849788666, 'learning_rate': 0.00019017929777748852, 'epoch': 0.16}
{'loss': 0.0329, 'grad_norm': 0.3204692602157593, 'learning_rate': 0.00019011421691451629, 'epoch': 0.16}
{'loss': 0.0293, 'grad_norm': 0.21973451972007751, 'learning_rate': 0.00019004913605154405, 'epoch': 0.16}
{'loss': 0.0318, 'grad_norm': 0.21908138692378998, 'learning_rate': 0.00018998405518857181, 'epoch': 0.16}
{'loss': 0.0269, 'grad_norm': 0.2918972373008728, 'learning_rate': 0.00018991897432559958, 'epoch': 0.16}
{'loss': 0.029, 'grad_norm': 0.33889248967170715, 'learning_rate': 0.00018985389346262731, 'epoch': 0.16}
{'loss': 0.0301, 'grad_norm': 0.582334578037262, 'learning_rate': 0.00018978881259965508, 'epoch': 0.16}
{'loss': 0.0267, 'grad_norm': 0.2546216547489166, 'learning_rate': 0.00018972373173668284, 'epoch': 0.16}
{'loss': 0.0305, 'grad_norm': 0.2374659925699234, 'learning_rate': 0.0001896586508737106, 'epoch': 0.16}
{'loss': 0.0282, 'grad_norm': 0.21223723888397217, 'learning_rate': 0.00018959357001073834, 'epoch': 0.17}
{'loss': 0.0283, 'grad_norm': 0.3339541256427765, 'learning_rate': 0.0001895284891477661, 'epoch': 0.17}
{'loss': 0.0255, 'grad_norm': 0.41797399520874023, 'learning_rate': 0.00018946340828479387, 'epoch': 0.17}
{'loss': 0.0254, 'grad_norm': 0.23637017607688904, 'learning_rate': 0.0001893983274218216, 'epoch': 0.17}
{'loss': 0.027, 'grad_norm': 0.23406559228897095, 'learning_rate': 0.0001893332465588494, 'epoch': 0.17}
{'loss': 0.0241, 'grad_norm': 0.24092839658260345, 'learning_rate': 0.00018926816569587714, 'epoch': 0.17}
{'loss': 0.0256, 'grad_norm': 0.6539923548698425, 'learning_rate': 0.0001892030848329049, 'epoch': 0.17}
{'loss': 0.0262, 'grad_norm': 0.28013259172439575, 'learning_rate': 0.00018913800396993264, 'epoch': 0.17}
{'loss': 0.0242, 'grad_norm': 0.23468314111232758, 'learning_rate': 0.0001890729231069604, 'epoch': 0.17}
{'loss': 0.0242, 'grad_norm': 0.31572985649108887, 'learning_rate': 0.00018900784224398816, 'epoch': 0.17}
{'loss': 0.0259, 'grad_norm': 0.28760287165641785, 'learning_rate': 0.00018894276138101593, 'epoch': 0.18}
{'loss': 0.0225, 'grad_norm': 0.3996950089931488, 'learning_rate': 0.0001888776805180437, 'epoch': 0.18}
{'loss': 0.0223, 'grad_norm': 0.23465581238269806, 'learning_rate': 0.00018881259965507143, 'epoch': 0.18}
{'loss': 0.0232, 'grad_norm': 0.3097194731235504, 'learning_rate': 0.0001887475187920992, 'epoch': 0.18}
{'loss': 0.025, 'grad_norm': 0.25479045510292053, 'learning_rate': 0.00018868243792912696, 'epoch': 0.18}
{'loss': 0.0242, 'grad_norm': 0.3969186842441559, 'learning_rate': 0.00018861735706615472, 'epoch': 0.18}
{'loss': 0.0259, 'grad_norm': 0.36403167247772217, 'learning_rate': 0.00018855227620318246, 'epoch': 0.18}
{'loss': 0.0243, 'grad_norm': 0.15855339169502258, 'learning_rate': 0.00018848719534021022, 'epoch': 0.18}
{'loss': 0.0234, 'grad_norm': 0.24905888736248016, 'learning_rate': 0.00018842211447723798, 'epoch': 0.18}
{'loss': 0.0233, 'grad_norm': 0.21189482510089874, 'learning_rate': 0.00018835703361426572, 'epoch': 0.18}
{'loss': 0.0224, 'grad_norm': 0.2564355432987213, 'learning_rate': 0.0001882919527512935, 'epoch': 0.18}
{'loss': 0.022, 'grad_norm': 0.23839832842350006, 'learning_rate': 0.00018822687188832125, 'epoch': 0.19}
{'loss': 0.0217, 'grad_norm': 0.3766612708568573, 'learning_rate': 0.000188161791025349, 'epoch': 0.19}
{'loss': 0.0202, 'grad_norm': 0.2286606878042221, 'learning_rate': 0.00018809671016237675, 'epoch': 0.19}
{'loss': 0.0223, 'grad_norm': 0.3919239342212677, 'learning_rate': 0.00018803162929940451, 'epoch': 0.19}
{'loss': 0.0204, 'grad_norm': 0.4930627942085266, 'learning_rate': 0.00018796654843643228, 'epoch': 0.19}
{'loss': 0.0216, 'grad_norm': 0.25407880544662476, 'learning_rate': 0.00018790146757346004, 'epoch': 0.19}
{'loss': 0.0213, 'grad_norm': 0.3739529848098755, 'learning_rate': 0.0001878363867104878, 'epoch': 0.19}
{'loss': 0.0208, 'grad_norm': 0.37002313137054443, 'learning_rate': 0.00018777130584751554, 'epoch': 0.19}
{'loss': 0.0211, 'grad_norm': 0.1989482194185257, 'learning_rate': 0.0001877062249845433, 'epoch': 0.19}
{'loss': 0.0168, 'grad_norm': 0.17748776078224182, 'learning_rate': 0.00018764114412157104, 'epoch': 0.19}
{'loss': 0.0213, 'grad_norm': 0.28221315145492554, 'learning_rate': 0.00018757606325859883, 'epoch': 0.2}
{'loss': 0.0171, 'grad_norm': 0.1834230273962021, 'learning_rate': 0.00018751098239562657, 'epoch': 0.2}
{'loss': 0.02, 'grad_norm': 0.31528210639953613, 'learning_rate': 0.00018744590153265433, 'epoch': 0.2}
{'loss': 0.018, 'grad_norm': 0.3627209961414337, 'learning_rate': 0.0001873808206696821, 'epoch': 0.2}
{'loss': 0.0219, 'grad_norm': 0.2905104160308838, 'learning_rate': 0.00018731573980670983, 'epoch': 0.2}
{'loss': 0.0176, 'grad_norm': 0.19976583123207092, 'learning_rate': 0.0001872506589437376, 'epoch': 0.2}
{'loss': 0.0189, 'grad_norm': 0.24321244657039642, 'learning_rate': 0.00018718557808076536, 'epoch': 0.2}
{'loss': 0.021, 'grad_norm': 0.46107783913612366, 'learning_rate': 0.00018712049721779313, 'epoch': 0.2}
{'loss': 0.0164, 'grad_norm': 0.3038467764854431, 'learning_rate': 0.00018705541635482086, 'epoch': 0.2}
{'loss': 0.0179, 'grad_norm': 0.26305511593818665, 'learning_rate': 0.00018699033549184863, 'epoch': 0.2}
{'loss': 0.0181, 'grad_norm': 0.3884451687335968, 'learning_rate': 0.0001869252546288764, 'epoch': 0.21}
{'loss': 0.0173, 'grad_norm': 0.2585850656032562, 'learning_rate': 0.00018686017376590416, 'epoch': 0.21}
{'loss': 0.0147, 'grad_norm': 0.17498686909675598, 'learning_rate': 0.00018679509290293192, 'epoch': 0.21}
{'loss': 0.0171, 'grad_norm': 0.3686266839504242, 'learning_rate': 0.00018673001203995966, 'epoch': 0.21}
{'loss': 0.0159, 'grad_norm': 0.28093913197517395, 'learning_rate': 0.00018666493117698742, 'epoch': 0.21}
{'loss': 0.0168, 'grad_norm': 0.16411657631397247, 'learning_rate': 0.00018659985031401516, 'epoch': 0.21}
{'loss': 0.015, 'grad_norm': 0.2926771342754364, 'learning_rate': 0.00018653476945104295, 'epoch': 0.21}
{'loss': 0.0181, 'grad_norm': 0.287199467420578, 'learning_rate': 0.00018646968858807068, 'epoch': 0.21}
{'loss': 0.0166, 'grad_norm': 0.28815698623657227, 'learning_rate': 0.00018640460772509845, 'epoch': 0.21}
{'loss': 0.0177, 'grad_norm': 0.33706605434417725, 'learning_rate': 0.00018633952686212618, 'epoch': 0.21}
{'loss': 0.0173, 'grad_norm': 0.23462951183319092, 'learning_rate': 0.00018627444599915395, 'epoch': 0.22}
{'loss': 0.0135, 'grad_norm': 0.16300135850906372, 'learning_rate': 0.0001862093651361817, 'epoch': 0.22}
{'loss': 0.0138, 'grad_norm': 0.22292664647102356, 'learning_rate': 0.00018614428427320948, 'epoch': 0.22}
{'loss': 0.0171, 'grad_norm': 0.3517095446586609, 'learning_rate': 0.00018607920341023724, 'epoch': 0.22}
{'loss': 0.0157, 'grad_norm': 0.27418607473373413, 'learning_rate': 0.00018601412254726498, 'epoch': 0.22}
{'loss': 0.0163, 'grad_norm': 0.23349465429782867, 'learning_rate': 0.00018594904168429274, 'epoch': 0.22}
{'loss': 0.0145, 'grad_norm': 0.20260034501552582, 'learning_rate': 0.00018588396082132048, 'epoch': 0.22}
{'loss': 0.0131, 'grad_norm': 0.25867846608161926, 'learning_rate': 0.00018581887995834827, 'epoch': 0.22}
{'loss': 0.0157, 'grad_norm': 0.21484637260437012, 'learning_rate': 0.00018575379909537603, 'epoch': 0.22}
{'loss': 0.0121, 'grad_norm': 0.2908368706703186, 'learning_rate': 0.00018568871823240377, 'epoch': 0.22}
{'loss': 0.0141, 'grad_norm': 0.2855360507965088, 'learning_rate': 0.00018562363736943153, 'epoch': 0.22}
{'loss': 0.0123, 'grad_norm': 0.21862392127513885, 'learning_rate': 0.00018555855650645927, 'epoch': 0.23}
{'loss': 0.012, 'grad_norm': 0.25690987706184387, 'learning_rate': 0.00018549347564348703, 'epoch': 0.23}
