{'loss': 3.3286, 'grad_norm': 2.3629939556121826, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 0.1457, 'grad_norm': 0.2528536021709442, 'learning_rate': 0.00019851615632423286, 'epoch': 0.03}
{'loss': 0.1479, 'grad_norm': 0.27116143703460693, 'learning_rate': 0.00019845107546126063, 'epoch': 0.03}
{'loss': 0.1386, 'grad_norm': 0.31461113691329956, 'learning_rate': 0.0001983859945982884, 'epoch': 0.03}
{'loss': 0.1388, 'grad_norm': 0.22138790786266327, 'learning_rate': 0.00019832091373531613, 'epoch': 0.04}
{'loss': 0.1388, 'grad_norm': 0.4640229046344757, 'learning_rate': 0.0001982558328723439, 'epoch': 0.04}
{'loss': 0.1405, 'grad_norm': 0.24887435138225555, 'learning_rate': 0.00019819075200937166, 'epoch': 0.04}
{'loss': 0.127, 'grad_norm': 0.30474579334259033, 'learning_rate': 0.00019812567114639942, 'epoch': 0.04}
{'loss': 0.1316, 'grad_norm': 0.2416597604751587, 'learning_rate': 0.00019806059028342716, 'epoch': 0.04}
{'loss': 0.135, 'grad_norm': 0.29224541783332825, 'learning_rate': 0.00019799550942045492, 'epoch': 0.04}
{'loss': 0.1349, 'grad_norm': 0.27416229248046875, 'learning_rate': 0.00019793042855748268, 'epoch': 0.04}
{'loss': 0.1387, 'grad_norm': 0.26316481828689575, 'learning_rate': 0.00019786534769451045, 'epoch': 0.04}
{'loss': 0.1283, 'grad_norm': 0.26146236062049866, 'learning_rate': 0.0001978002668315382, 'epoch': 0.04}
{'loss': 0.1244, 'grad_norm': 0.21713508665561676, 'learning_rate': 0.00019773518596856595, 'epoch': 0.04}
{'loss': 0.1212, 'grad_norm': 0.40283694863319397, 'learning_rate': 0.0001976701051055937, 'epoch': 0.04}
{'loss': 0.1236, 'grad_norm': 0.4103328585624695, 'learning_rate': 0.00019760502424262145, 'epoch': 0.05}
{'loss': 0.1202, 'grad_norm': 0.28603580594062805, 'learning_rate': 0.00019753994337964924, 'epoch': 0.05}
{'loss': 0.119, 'grad_norm': 0.2987901568412781, 'learning_rate': 0.00019747486251667698, 'epoch': 0.05}
{'loss': 0.1229, 'grad_norm': 0.20031403005123138, 'learning_rate': 0.00019740978165370474, 'epoch': 0.05}
{'loss': 0.1145, 'grad_norm': 0.3717803955078125, 'learning_rate': 0.00019734470079073248, 'epoch': 0.05}
{'loss': 0.1151, 'grad_norm': 0.3892762064933777, 'learning_rate': 0.00019727961992776024, 'epoch': 0.05}
{'loss': 0.111, 'grad_norm': 0.2568286657333374, 'learning_rate': 0.000197214539064788, 'epoch': 0.05}
{'loss': 0.1162, 'grad_norm': 0.2035272866487503, 'learning_rate': 0.00019714945820181577, 'epoch': 0.05}
{'loss': 0.1117, 'grad_norm': 0.27055615186691284, 'learning_rate': 0.00019708437733884353, 'epoch': 0.05}
{'loss': 0.1117, 'grad_norm': 0.41950902342796326, 'learning_rate': 0.00019701929647587127, 'epoch': 0.05}
{'loss': 0.107, 'grad_norm': 0.24533440172672272, 'learning_rate': 0.00019695421561289903, 'epoch': 0.06}
{'loss': 0.1066, 'grad_norm': 0.2599725127220154, 'learning_rate': 0.0001968891347499268, 'epoch': 0.06}
{'loss': 0.1098, 'grad_norm': 0.24203652143478394, 'learning_rate': 0.00019682405388695456, 'epoch': 0.06}
{'loss': 0.1069, 'grad_norm': 0.2361651211977005, 'learning_rate': 0.00019675897302398233, 'epoch': 0.06}
{'loss': 0.1086, 'grad_norm': 0.29190635681152344, 'learning_rate': 0.00019669389216101006, 'epoch': 0.06}
{'loss': 0.1051, 'grad_norm': 0.4175112843513489, 'learning_rate': 0.00019662881129803783, 'epoch': 0.06}
{'loss': 0.1053, 'grad_norm': 0.2591676115989685, 'learning_rate': 0.00019656373043506556, 'epoch': 0.06}
{'loss': 0.1009, 'grad_norm': 0.3010002374649048, 'learning_rate': 0.00019649864957209335, 'epoch': 0.06}
{'loss': 0.1074, 'grad_norm': 0.2753627896308899, 'learning_rate': 0.0001964335687091211, 'epoch': 0.06}
{'loss': 0.1063, 'grad_norm': 0.26748546957969666, 'learning_rate': 0.00019636848784614885, 'epoch': 0.06}
{'loss': 0.097, 'grad_norm': 0.29220205545425415, 'learning_rate': 0.0001963034069831766, 'epoch': 0.07}
{'loss': 0.1034, 'grad_norm': 0.31166884303092957, 'learning_rate': 0.00019623832612020436, 'epoch': 0.07}
{'loss': 0.0949, 'grad_norm': 0.19161275029182434, 'learning_rate': 0.00019617324525723212, 'epoch': 0.07}
{'loss': 0.0922, 'grad_norm': 0.3398316502571106, 'learning_rate': 0.00019610816439425988, 'epoch': 0.07}
{'loss': 0.0991, 'grad_norm': 0.3664346933364868, 'learning_rate': 0.00019604308353128765, 'epoch': 0.07}
{'loss': 0.0968, 'grad_norm': 0.30577903985977173, 'learning_rate': 0.00019597800266831538, 'epoch': 0.07}
{'loss': 0.0947, 'grad_norm': 0.3133346736431122, 'learning_rate': 0.00019591292180534315, 'epoch': 0.07}
{'loss': 0.0941, 'grad_norm': 0.28698697686195374, 'learning_rate': 0.00019584784094237088, 'epoch': 0.07}
{'loss': 0.0916, 'grad_norm': 0.24656403064727783, 'learning_rate': 0.00019578276007939868, 'epoch': 0.07}
{'loss': 0.0948, 'grad_norm': 0.47193223237991333, 'learning_rate': 0.0001957176792164264, 'epoch': 0.07}
{'loss': 0.0931, 'grad_norm': 0.37093085050582886, 'learning_rate': 0.00019565259835345418, 'epoch': 0.07}
{'loss': 0.0911, 'grad_norm': 0.221975177526474, 'learning_rate': 0.00019558751749048194, 'epoch': 0.08}
{'loss': 0.0946, 'grad_norm': 0.37730228900909424, 'learning_rate': 0.00019552243662750968, 'epoch': 0.08}
{'loss': 0.1044, 'grad_norm': 0.28775128722190857, 'learning_rate': 0.00019545735576453744, 'epoch': 0.08}
{'loss': 0.0863, 'grad_norm': 0.38361337780952454, 'learning_rate': 0.0001953922749015652, 'epoch': 0.08}
{'loss': 0.0878, 'grad_norm': 0.22407884895801544, 'learning_rate': 0.00019532719403859297, 'epoch': 0.08}
{'loss': 0.092, 'grad_norm': 0.25717848539352417, 'learning_rate': 0.0001952621131756207, 'epoch': 0.08}
{'loss': 0.0901, 'grad_norm': 0.2850823700428009, 'learning_rate': 0.00019519703231264847, 'epoch': 0.08}
{'loss': 0.0767, 'grad_norm': 0.40162989497184753, 'learning_rate': 0.00019513195144967623, 'epoch': 0.08}
{'loss': 0.0824, 'grad_norm': 0.27886176109313965, 'learning_rate': 0.000195066870586704, 'epoch': 0.08}
{'loss': 0.0804, 'grad_norm': 0.3463951349258423, 'learning_rate': 0.00019500178972373176, 'epoch': 0.08}
{'loss': 0.0802, 'grad_norm': 0.30873504281044006, 'learning_rate': 0.0001949367088607595, 'epoch': 0.09}
{'loss': 0.0845, 'grad_norm': 0.2820405066013336, 'learning_rate': 0.00019487162799778726, 'epoch': 0.09}
{'loss': 0.0796, 'grad_norm': 0.32317060232162476, 'learning_rate': 0.000194806547134815, 'epoch': 0.09}
{'loss': 0.0809, 'grad_norm': 0.2143108993768692, 'learning_rate': 0.0001947414662718428, 'epoch': 0.09}
{'loss': 0.1047, 'grad_norm': 0.27711018919944763, 'learning_rate': 0.00019467638540887053, 'epoch': 0.09}
{'loss': 0.0737, 'grad_norm': 0.24681317806243896, 'learning_rate': 0.0001946113045458983, 'epoch': 0.09}
{'loss': 0.0731, 'grad_norm': 0.2816363573074341, 'learning_rate': 0.00019454622368292605, 'epoch': 0.09}
{'loss': 0.0761, 'grad_norm': 0.24900558590888977, 'learning_rate': 0.0001944811428199538, 'epoch': 0.09}
{'loss': 0.0714, 'grad_norm': 0.38399964570999146, 'learning_rate': 0.00019441606195698155, 'epoch': 0.09}
{'loss': 0.0739, 'grad_norm': 0.2587825655937195, 'learning_rate': 0.00019435098109400932, 'epoch': 0.09}
{'loss': 0.0739, 'grad_norm': 0.28942471742630005, 'learning_rate': 0.00019428590023103708, 'epoch': 0.1}
{'loss': 0.0734, 'grad_norm': 0.28719180822372437, 'learning_rate': 0.00019422081936806482, 'epoch': 0.1}
{'loss': 0.069, 'grad_norm': 0.3759464919567108, 'learning_rate': 0.00019415573850509258, 'epoch': 0.1}
{'loss': 0.0729, 'grad_norm': 0.2342122346162796, 'learning_rate': 0.00019409065764212035, 'epoch': 0.1}
{'loss': 0.0685, 'grad_norm': 0.27515166997909546, 'learning_rate': 0.0001940255767791481, 'epoch': 0.1}
{'loss': 0.0721, 'grad_norm': 0.3277655839920044, 'learning_rate': 0.00019396049591617587, 'epoch': 0.1}
{'loss': 0.0608, 'grad_norm': 0.3627375066280365, 'learning_rate': 0.0001938954150532036, 'epoch': 0.1}
{'loss': 0.0683, 'grad_norm': 0.2977310121059418, 'learning_rate': 0.00019383033419023138, 'epoch': 0.1}
{'loss': 0.066, 'grad_norm': 0.222432479262352, 'learning_rate': 0.0001937652533272591, 'epoch': 0.1}
{'loss': 0.0627, 'grad_norm': 0.21222317218780518, 'learning_rate': 0.00019370017246428688, 'epoch': 0.1}
{'loss': 0.0625, 'grad_norm': 0.2981756627559662, 'learning_rate': 0.00019363509160131464, 'epoch': 0.11}
{'loss': 0.0617, 'grad_norm': 0.3092614412307739, 'learning_rate': 0.0001935700107383424, 'epoch': 0.11}
{'loss': 0.061, 'grad_norm': 0.269094854593277, 'learning_rate': 0.00019350492987537017, 'epoch': 0.11}
{'loss': 0.0649, 'grad_norm': 0.32766520977020264, 'learning_rate': 0.0001934398490123979, 'epoch': 0.11}
{'loss': 0.0595, 'grad_norm': 0.32952967286109924, 'learning_rate': 0.00019337476814942567, 'epoch': 0.11}
{'loss': 0.059, 'grad_norm': 0.23515331745147705, 'learning_rate': 0.00019330968728645343, 'epoch': 0.11}
{'loss': 0.0617, 'grad_norm': 0.27002328634262085, 'learning_rate': 0.0001932446064234812, 'epoch': 0.11}
{'loss': 0.062, 'grad_norm': 0.3256303071975708, 'learning_rate': 0.00019317952556050893, 'epoch': 0.11}
{'loss': 0.0615, 'grad_norm': 0.34812337160110474, 'learning_rate': 0.0001931144446975367, 'epoch': 0.11}
{'loss': 0.0573, 'grad_norm': 0.3310073912143707, 'learning_rate': 0.00019304936383456443, 'epoch': 0.11}
{'loss': 0.0615, 'grad_norm': 0.43839582800865173, 'learning_rate': 0.00019298428297159222, 'epoch': 0.11}
{'loss': 0.0642, 'grad_norm': 0.284915953874588, 'learning_rate': 0.00019291920210862, 'epoch': 0.12}
{'loss': 0.0589, 'grad_norm': 0.3722623288631439, 'learning_rate': 0.00019285412124564772, 'epoch': 0.12}
{'loss': 0.0599, 'grad_norm': 0.3549514710903168, 'learning_rate': 0.0001927890403826755, 'epoch': 0.12}
{'loss': 0.058, 'grad_norm': 0.18934346735477448, 'learning_rate': 0.00019272395951970323, 'epoch': 0.12}
{'loss': 0.0573, 'grad_norm': 0.2092079073190689, 'learning_rate': 0.000192658878656731, 'epoch': 0.12}
{'loss': 0.0542, 'grad_norm': 0.3605797588825226, 'learning_rate': 0.00019259379779375875, 'epoch': 0.12}
{'loss': 0.0542, 'grad_norm': 0.32743650674819946, 'learning_rate': 0.00019252871693078652, 'epoch': 0.12}
{'loss': 0.0574, 'grad_norm': 0.30740320682525635, 'learning_rate': 0.00019246363606781428, 'epoch': 0.12}
{'loss': 0.0556, 'grad_norm': 0.27071326971054077, 'learning_rate': 0.00019239855520484202, 'epoch': 0.12}
{'loss': 0.057, 'grad_norm': 0.29726746678352356, 'learning_rate': 0.00019233347434186978, 'epoch': 0.12}
{'loss': 0.0531, 'grad_norm': 0.3005899488925934, 'learning_rate': 0.00019226839347889755, 'epoch': 0.13}
{'loss': 0.0493, 'grad_norm': 0.25947409868240356, 'learning_rate': 0.0001922033126159253, 'epoch': 0.13}
{'loss': 0.0475, 'grad_norm': 0.2997974157333374, 'learning_rate': 0.00019213823175295305, 'epoch': 0.13}
{'loss': 0.046, 'grad_norm': 0.3430528938770294, 'learning_rate': 0.0001920731508899808, 'epoch': 0.13}
{'loss': 0.0489, 'grad_norm': 0.2855248749256134, 'learning_rate': 0.00019200807002700855, 'epoch': 0.13}
{'loss': 0.0489, 'grad_norm': 0.39544934034347534, 'learning_rate': 0.0001919429891640363, 'epoch': 0.13}
{'loss': 0.0444, 'grad_norm': 0.3710346221923828, 'learning_rate': 0.0001918779083010641, 'epoch': 0.13}
{'loss': 0.043, 'grad_norm': 0.40720972418785095, 'learning_rate': 0.00019181282743809184, 'epoch': 0.13}
{'loss': 0.0466, 'grad_norm': 0.3990650475025177, 'learning_rate': 0.0001917477465751196, 'epoch': 0.13}
{'loss': 0.0404, 'grad_norm': 0.24829186499118805, 'learning_rate': 0.00019168266571214734, 'epoch': 0.13}
{'loss': 0.0394, 'grad_norm': 0.43591922521591187, 'learning_rate': 0.0001916175848491751, 'epoch': 0.14}
{'loss': 0.0372, 'grad_norm': 0.3537108302116394, 'learning_rate': 0.00019155250398620287, 'epoch': 0.14}
{'loss': 0.0391, 'grad_norm': 0.3326232135295868, 'learning_rate': 0.00019148742312323063, 'epoch': 0.14}
{'loss': 0.0354, 'grad_norm': 0.3344097137451172, 'learning_rate': 0.00019142234226025837, 'epoch': 0.14}
{'loss': 0.0357, 'grad_norm': 0.18860556185245514, 'learning_rate': 0.00019135726139728613, 'epoch': 0.14}
{'loss': 0.0341, 'grad_norm': 0.33470618724823, 'learning_rate': 0.0001912921805343139, 'epoch': 0.14}
{'loss': 0.0327, 'grad_norm': 0.30052316188812256, 'learning_rate': 0.00019122709967134166, 'epoch': 0.14}
{'loss': 0.0286, 'grad_norm': 0.22709836065769196, 'learning_rate': 0.00019116201880836942, 'epoch': 0.14}
{'loss': 0.0282, 'grad_norm': 0.30937260389328003, 'learning_rate': 0.00019109693794539716, 'epoch': 0.14}
{'loss': 0.0295, 'grad_norm': 0.3400079011917114, 'learning_rate': 0.00019103185708242492, 'epoch': 0.14}
{'loss': 0.0312, 'grad_norm': 0.3957442343235016, 'learning_rate': 0.00019096677621945266, 'epoch': 0.14}
{'loss': 0.0286, 'grad_norm': 0.2414933294057846, 'learning_rate': 0.00019090169535648042, 'epoch': 0.15}
{'loss': 0.0287, 'grad_norm': 0.28808048367500305, 'learning_rate': 0.00019083661449350822, 'epoch': 0.15}
{'loss': 0.0283, 'grad_norm': 0.2789369523525238, 'learning_rate': 0.00019077153363053595, 'epoch': 0.15}
{'loss': 0.0241, 'grad_norm': 0.2595289349555969, 'learning_rate': 0.00019070645276756372, 'epoch': 0.15}
{'loss': 0.0235, 'grad_norm': 0.314272940158844, 'learning_rate': 0.00019064137190459145, 'epoch': 0.15}
{'loss': 0.0272, 'grad_norm': 0.17197127640247345, 'learning_rate': 0.00019057629104161922, 'epoch': 0.15}
{'loss': 0.025, 'grad_norm': 0.277217835187912, 'learning_rate': 0.00019051121017864698, 'epoch': 0.15}
{'loss': 0.0221, 'grad_norm': 0.22473932802677155, 'learning_rate': 0.00019044612931567474, 'epoch': 0.15}
{'loss': 0.0207, 'grad_norm': 0.24516260623931885, 'learning_rate': 0.00019038104845270248, 'epoch': 0.15}
{'loss': 0.0239, 'grad_norm': 0.2651548385620117, 'learning_rate': 0.00019031596758973025, 'epoch': 0.15}
{'loss': 0.0248, 'grad_norm': 0.2918511927127838, 'learning_rate': 0.000190250886726758, 'epoch': 0.16}
{'loss': 0.0257, 'grad_norm': 0.2170390486717224, 'learning_rate': 0.00019018580586378577, 'epoch': 0.16}
{'loss': 0.0253, 'grad_norm': 0.3223910629749298, 'learning_rate': 0.00019012072500081354, 'epoch': 0.16}
{'loss': 0.026, 'grad_norm': 0.30515024065971375, 'learning_rate': 0.00019005564413784127, 'epoch': 0.16}
{'loss': 0.02, 'grad_norm': 0.31443506479263306, 'learning_rate': 0.00018999056327486904, 'epoch': 0.16}
{'loss': 0.0214, 'grad_norm': 0.231526181101799, 'learning_rate': 0.00018992548241189677, 'epoch': 0.16}
{'loss': 0.0182, 'grad_norm': 0.20684599876403809, 'learning_rate': 0.00018986040154892454, 'epoch': 0.16}
{'loss': 0.0177, 'grad_norm': 0.20324748754501343, 'learning_rate': 0.00018979532068595233, 'epoch': 0.16}
{'loss': 0.018, 'grad_norm': 0.2990519106388092, 'learning_rate': 0.00018973023982298007, 'epoch': 0.16}
{'loss': 0.0228, 'grad_norm': 0.25145983695983887, 'learning_rate': 0.00018966515896000783, 'epoch': 0.16}
{'loss': 0.0174, 'grad_norm': 0.19605420529842377, 'learning_rate': 0.00018960007809703557, 'epoch': 0.17}
{'loss': 0.0201, 'grad_norm': 0.38503843545913696, 'learning_rate': 0.00018953499723406333, 'epoch': 0.17}
{'loss': 0.0183, 'grad_norm': 0.3113439381122589, 'learning_rate': 0.0001894699163710911, 'epoch': 0.17}
{'loss': 0.0173, 'grad_norm': 0.20283693075180054, 'learning_rate': 0.00018940483550811886, 'epoch': 0.17}
{'loss': 0.0185, 'grad_norm': 0.29485663771629333, 'learning_rate': 0.0001893397546451466, 'epoch': 0.17}
{'loss': 0.0208, 'grad_norm': 0.23981571197509766, 'learning_rate': 0.00018927467378217436, 'epoch': 0.17}
{'loss': 0.0214, 'grad_norm': 0.2414797693490982, 'learning_rate': 0.00018920959291920212, 'epoch': 0.17}
{'loss': 0.0197, 'grad_norm': 0.21847377717494965, 'learning_rate': 0.00018914451205622986, 'epoch': 0.17}
{'loss': 0.0183, 'grad_norm': 0.15747110545635223, 'learning_rate': 0.00018907943119325765, 'epoch': 0.17}
{'loss': 0.0212, 'grad_norm': 0.20551203191280365, 'learning_rate': 0.0001890143503302854, 'epoch': 0.17}
{'loss': 0.0203, 'grad_norm': 0.22118200361728668, 'learning_rate': 0.00018894926946731315, 'epoch': 0.18}
{'loss': 0.018, 'grad_norm': 0.22870394587516785, 'learning_rate': 0.0001888841886043409, 'epoch': 0.18}
{'loss': 0.0211, 'grad_norm': 0.18070612847805023, 'learning_rate': 0.00018881910774136865, 'epoch': 0.18}
{'loss': 0.0167, 'grad_norm': 0.2673896253108978, 'learning_rate': 0.00018875402687839642, 'epoch': 0.18}
{'loss': 0.0174, 'grad_norm': 0.2906271815299988, 'learning_rate': 0.00018868894601542418, 'epoch': 0.18}
{'loss': 0.015, 'grad_norm': 0.18712258338928223, 'learning_rate': 0.00018862386515245194, 'epoch': 0.18}
{'loss': 0.0146, 'grad_norm': 0.1702708601951599, 'learning_rate': 0.00018855878428947968, 'epoch': 0.18}
{'loss': 0.018, 'grad_norm': 0.16841734945774078, 'learning_rate': 0.00018849370342650744, 'epoch': 0.18}
{'loss': 0.0179, 'grad_norm': 0.2190922647714615, 'learning_rate': 0.0001884286225635352, 'epoch': 0.18}
{'loss': 0.0159, 'grad_norm': 0.2142532914876938, 'learning_rate': 0.00018836354170056297, 'epoch': 0.18}
{'loss': 0.0132, 'grad_norm': 0.13690702617168427, 'learning_rate': 0.0001882984608375907, 'epoch': 0.18}
{'loss': 0.0155, 'grad_norm': 0.18547026813030243, 'learning_rate': 0.00018823337997461847, 'epoch': 0.19}
{'loss': 0.015, 'grad_norm': 0.19974566996097565, 'learning_rate': 0.00018816829911164624, 'epoch': 0.19}
{'loss': 0.0166, 'grad_norm': 0.40083226561546326, 'learning_rate': 0.00018810321824867397, 'epoch': 0.19}
{'loss': 0.0138, 'grad_norm': 0.15016327798366547, 'learning_rate': 0.00018803813738570176, 'epoch': 0.19}
{'loss': 0.0151, 'grad_norm': 0.19407722353935242, 'learning_rate': 0.0001879730565227295, 'epoch': 0.19}
{'loss': 0.0143, 'grad_norm': 0.14312167465686798, 'learning_rate': 0.00018790797565975726, 'epoch': 0.19}
{'loss': 0.013, 'grad_norm': 0.2309718281030655, 'learning_rate': 0.000187842894796785, 'epoch': 0.19}
{'loss': 0.0134, 'grad_norm': 0.09518615901470184, 'learning_rate': 0.00018777781393381277, 'epoch': 0.19}
{'loss': 0.0136, 'grad_norm': 0.20767821371555328, 'learning_rate': 0.00018771273307084053, 'epoch': 0.19}
{'loss': 0.0146, 'grad_norm': 0.2091289758682251, 'learning_rate': 0.0001876476522078683, 'epoch': 0.19}
{'loss': 0.014, 'grad_norm': 0.2463725507259369, 'learning_rate': 0.00018758257134489606, 'epoch': 0.2}
{'loss': 0.0146, 'grad_norm': 0.35054248571395874, 'learning_rate': 0.0001875174904819238, 'epoch': 0.2}
{'loss': 0.0142, 'grad_norm': 0.28433364629745483, 'learning_rate': 0.00018745240961895156, 'epoch': 0.2}
{'loss': 0.0137, 'grad_norm': 0.22818304598331451, 'learning_rate': 0.0001873873287559793, 'epoch': 0.2}
{'loss': 0.0146, 'grad_norm': 0.19634409248828888, 'learning_rate': 0.00018732224789300709, 'epoch': 0.2}
{'loss': 0.0129, 'grad_norm': 0.12124640494585037, 'learning_rate': 0.00018725716703003482, 'epoch': 0.2}
{'loss': 0.0123, 'grad_norm': 0.2347704917192459, 'learning_rate': 0.00018719208616706259, 'epoch': 0.2}
{'loss': 0.0104, 'grad_norm': 0.184483140707016, 'learning_rate': 0.00018712700530409032, 'epoch': 0.2}
{'loss': 0.0115, 'grad_norm': 0.22654204070568085, 'learning_rate': 0.0001870619244411181, 'epoch': 0.2}
{'loss': 0.014, 'grad_norm': 0.19774098694324493, 'learning_rate': 0.00018699684357814585, 'epoch': 0.2}
{'loss': 0.0107, 'grad_norm': 0.17538553476333618, 'learning_rate': 0.00018693176271517361, 'epoch': 0.21}
{'loss': 0.0126, 'grad_norm': 0.2316737323999405, 'learning_rate': 0.00018686668185220138, 'epoch': 0.21}
{'loss': 0.0095, 'grad_norm': 0.15243105590343475, 'learning_rate': 0.00018680160098922912, 'epoch': 0.21}
{'loss': 0.0103, 'grad_norm': 0.16912682354450226, 'learning_rate': 0.00018673652012625688, 'epoch': 0.21}
{'loss': 0.0129, 'grad_norm': 0.3100159168243408, 'learning_rate': 0.00018667143926328464, 'epoch': 0.21}
{'loss': 0.0114, 'grad_norm': 0.2145570069551468, 'learning_rate': 0.0001866063584003124, 'epoch': 0.21}
{'loss': 0.0106, 'grad_norm': 0.3111908435821533, 'learning_rate': 0.00018654127753734017, 'epoch': 0.21}
{'loss': 0.0135, 'grad_norm': 0.1299482136964798, 'learning_rate': 0.0001864761966743679, 'epoch': 0.21}
{'loss': 0.0108, 'grad_norm': 0.14940248429775238, 'learning_rate': 0.00018641111581139567, 'epoch': 0.21}
{'loss': 0.0111, 'grad_norm': 0.15382777154445648, 'learning_rate': 0.0001863460349484234, 'epoch': 0.21}
{'loss': 0.011, 'grad_norm': 0.2189265340566635, 'learning_rate': 0.0001862809540854512, 'epoch': 0.22}
{'loss': 0.0119, 'grad_norm': 0.3744540810585022, 'learning_rate': 0.00018621587322247894, 'epoch': 0.22}
{'loss': 0.0108, 'grad_norm': 0.14964516460895538, 'learning_rate': 0.0001861507923595067, 'epoch': 0.22}
{'loss': 0.0117, 'grad_norm': 0.09391193836927414, 'learning_rate': 0.00018608571149653444, 'epoch': 0.22}
{'loss': 0.0126, 'grad_norm': 0.16487246751785278, 'learning_rate': 0.0001860206306335622, 'epoch': 0.22}
{'loss': 0.0105, 'grad_norm': 0.12136142700910568, 'learning_rate': 0.00018595554977058996, 'epoch': 0.22}
{'loss': 0.0112, 'grad_norm': 0.20384076237678528, 'learning_rate': 0.00018589046890761773, 'epoch': 0.22}
{'loss': 0.0114, 'grad_norm': 0.1872798353433609, 'learning_rate': 0.0001858253880446455, 'epoch': 0.22}
{'loss': 0.0108, 'grad_norm': 0.17485126852989197, 'learning_rate': 0.00018576030718167323, 'epoch': 0.22}
{'loss': 0.0119, 'grad_norm': 0.2018919587135315, 'learning_rate': 0.000185695226318701, 'epoch': 0.22}
{'loss': 0.013, 'grad_norm': 0.1588507443666458, 'learning_rate': 0.00018563014545572876, 'epoch': 0.22}
{'loss': 0.0113, 'grad_norm': 0.1442660689353943, 'learning_rate': 0.00018556506459275652, 'epoch': 0.23}
{'loss': 0.014, 'grad_norm': 0.23992133140563965, 'learning_rate': 0.00018549998372978428, 'epoch': 0.23}
{'loss': 0.0142, 'grad_norm': 0.952296793460846, 'learning_rate': 0.00018543490286681202, 'epoch': 0.23}
